,Employee,Day,TSlot,Assignment
248,Employee501721,16/11/2018,15:00:00,BM Admin Time
249,Employee501721,16/11/2018,15:15:00,BM Admin Time
250,Employee501721,16/11/2018,15:30:00,BM Admin Time
251,Employee501721,16/11/2018,15:45:00,BM Admin Time
252,Employee501721,16/11/2018,16:00:00,Downtown Platform
253,Employee501721,16/11/2018,16:15:00,Downtown Platform
254,Employee501721,16/11/2018,16:30:00,Downtown Platform
255,Employee501721,16/11/2018,16:45:00,Downtown Platform
256,Employee501768,15/11/2018,09:00:00,Downtown Lobby
257,Employee501768,15/11/2018,09:15:00,Downtown Lobby
258,Employee501768,15/11/2018,09:30:00,Downtown Lobby
259,Employee501768,15/11/2018,09:45:00,Downtown Lobby
260,Employee501768,15/11/2018,10:00:00,Downtown Lobby
261,Employee501768,15/11/2018,10:15:00,Downtown Lobby
262,Employee501768,15/11/2018,10:30:00,Downtown Lobby
263,Employee501768,15/11/2018,10:45:00,Downtown Lobby
264,Employee501768,15/11/2018,11:00:00,Downtown Lobby
265,Employee501768,15/11/2018,11:15:00,Downtown Lobby
266,Employee501768,15/11/2018,11:30:00,Downtown Lobby
267,Employee501768,15/11/2018,11:45:00,Downtown Lobby
268,Employee501768,15/11/2018,12:00:00,Downtown Lobby
269,Employee501768,15/11/2018,12:15:00,Downtown Lobby
270,Employee501768,15/11/2018,12:30:00,Downtown Lobby
271,Employee501768,15/11/2018,12:45:00,Downtown Lobby
272,Employee501768,15/11/2018,13:00:00,Downtown Lobby
273,Employee501768,15/11/2018,13:15:00,Downtown Lobby
274,Employee501768,15/11/2018,13:30:00,Downtown Lobby
275,Employee501768,15/11/2018,13:45:00,Downtown Lobby
276,Employee501768,15/11/2018,14:00:00,Downtown Lobby
277,Employee501768,15/11/2018,14:15:00,Downtown Lobby
278,Employee501768,15/11/2018,14:30:00,Downtown Lobby
279,Employee501768,15/11/2018,14:45:00,Downtown Lobby
280,Employee501768,15/11/2018,15:00:00,Downtown Lobby
281,Employee501768,15/11/2018,15:15:00,Downtown Lobby
282,Employee501768,15/11/2018,15:30:00,Downtown Lobby
283,Employee501768,15/11/2018,15:45:00,Downtown Lobby
284,Employee501768,15/11/2018,16:00:00,Downtown Lobby
285,Employee501768,15/11/2018,16:15:00,Downtown Lobby
