Day,Time,Assignment,Requirement,Scheduled
16/11/2018,01:30:00 PM,ABM Admin Time,1,0
16/11/2018,01:45:00 PM,ABM Admin Time,1,0
16/11/2018,02:00:00 PM,ABM Admin Time,1,0
16/11/2018,02:15:00 PM,ABM Admin Time,1,0
16/11/2018,02:30:00 PM,ABM Admin Time,1,0
16/11/2018,02:45:00 PM,ABM Admin Time,1,0
16/11/2018,03:00:00 PM,ABM Admin Time,1,0
16/11/2018,03:15:00 PM,ABM Admin Time,1,0
16/11/2018,03:30:00 PM,ABM Admin Time,1,0
16/11/2018,03:45:00 PM,ABM Admin Time,1,0
16/11/2018,10:00:00 AM,BMT Meeting,2,0
16/11/2018,10:15:00 AM,BMT Meeting,2,0
16/11/2018,10:30:00 AM,BMT Meeting,2,0
16/11/2018,10:45:00 AM,BMT Meeting,2,0
